"","cluster1","cluster2","cluster4","cluster5"
"CGGA_1380",0.0268252082567122,-0.0410618782406938,0.131912442515088,0.353086686589457
"CGGA_1382",0.389114113344788,-0.0898490653273486,-0.14971305448983,0.554796266466595
"CGGA_1383",-0.602173240828112,-0.482435035924716,-0.506923820338795,-0.706271869765667
"CGGA_1386",-0.000573151476528949,-0.496038038822208,-0.443975962797608,-0.444540994234085
"CGGA_1387",0.0727215745046162,0.324571580307151,0.201598594173788,0.557417706409792
"CGGA_1389",-0.653929236730764,-0.583165717311424,-0.565004243201904,-0.654443603299099
"CGGA_139",-0.649647930992455,0.595962401109362,0.109103817571687,-0.055981640439023
"CGGA_1390",0.0450043433619676,-0.198755772397336,-0.122423385682022,-0.400881734756601
"CGGA_1391",-0.0227239935664295,0.0408298622028322,-0.210615710872022,-0.423889259962812
"CGGA_1392",0.721766801923953,-0.322739343447766,-0.387329856979678,-0.502361418526319
"CGGA_1398",-0.675962165857822,0.0761570928112685,-0.121572116219337,0.154152663181161
"CGGA_1400",-0.59347236468014,-0.595807372357834,-0.651277121927204,-0.622898262730837
"CGGA_1401",-0.721156813155885,0.165391303422538,0.405060432453406,0.550004496030119
"CGGA_1402",0.835507477150729,0.396891004382556,0.392071537871803,0.35764021115498
"CGGA_1403",-0.130379228865451,0.427955573860626,0.330662993310338,0.467887590569185
"CGGA_1404",-0.440462534168698,-0.463349884442359,-0.366254336603646,-0.326057573149269
"CGGA_1407",-0.461080618407279,-0.723294349193281,-0.643097031435709,-0.614102113678924
"CGGA_1410",0.279265650395125,0.341001118930615,0.285079926428599,0.6097885886451
"CGGA_1413",-0.615372694989146,0.206000111763614,0.342395982834392,0.414846716065355
"CGGA_1415",0.676232121482949,0.754485228666648,0.65757106655728,0.741889864935188
"CGGA_1416",-0.512869812027008,-0.604279890715035,-0.462248332471439,-0.577190096482333
"CGGA_1417",-0.438404811283605,0.162227824123006,-0.254375901806739,0.469440704538339
"CGGA_1418",-0.439713429191655,-0.596104139515058,-0.653806407990565,-0.598453674678051
"CGGA_1419",-0.210119238836676,-0.309806644210997,-0.264511234377705,0.0289786711808563
"CGGA_1420",-0.758193193504708,-0.503644395481058,-0.517565341890029,-0.702756992471983
"CGGA_1421",-0.596036030948899,-0.517914887248479,-0.413139953386179,-0.618256353702748
"CGGA_1422",-0.493681977451107,-0.564925331237503,-0.565063277417069,-0.532175295624284
"CGGA_1424",-0.763423211760655,-0.747899159662365,-0.687807765034814,-0.63997563128498
"CGGA_1425",-0.437950173482241,-0.0815197670636897,-0.383594885670981,-0.424066898854502
"CGGA_1426",0.444908754040536,0.58370900910577,0.413419079487977,0.205008056571178
"CGGA_1427",-0.284832414506813,-0.00561557158216555,-0.0182381133792733,0.0579965609957894
"CGGA_1429",0.00402684267867581,0.11992842023108,-0.136082593616841,0.260662797936105
"CGGA_1430",-0.611571025825944,-0.123667459288099,-0.421478582333289,-0.545174232129631
"CGGA_1431",-0.0896567430461337,-0.193390611882019,-0.0083625117162317,0.0605607568766065
"CGGA_1433",0.670486011991674,0.421326738896836,0.52274116203963,0.16661575953286
"CGGA_1434",0.446476201641143,0.465909363217766,0.454446814755713,0.408840089575006
"CGGA_1435",0.0207695549639762,0.563940944094648,0.422158571248601,0.309836646037513
"CGGA_1437",-0.348861339828735,0.168019715018565,0.0454866828043165,-0.491950048464445
"CGGA_1440",-0.592274122828411,0.0516973588458214,-0.00212500202351151,0.276789571314125
